Timestamp,العمر(رقم_عدد صحيح),الجنس,الفرع الدراسي,المدينة/المحافظة,اهتمامي بالبرمجة والتقنية,اهتمامي بالرياضيات والمنطق,اهتمامي بالفيزياء والهندسة,اهتمامي بالطب والعلوم الصحية,اهتمامي بالكيمياء والأحياء,اهتمامي باللغات والآداب,اهتمامي بالعلوم الإنسانية (فلسفة، علم نفس، اجتماع),اهتمامي بالاقتصاد وإدارة الأعمال,اهتمامي بالفنون (رسم، موسيقى، تصميم),اهتمامي بالقانون والحقوق,أفضل الدراسة النظرية على العملية,أستمتع بحل المسائل المعقدة,أفضل العمل مع الناس أكثر من العمل مع الحاسوب,أتحمل ضغط الدراسة العالي إذا كان التخصص أحبه,أميل للاستقرار الوظيفي أكثر من المغامرة,ترتيب أهمية الدخل الجيد بالنسبة لي,ترتيب أهمية المكانة الاجتماعية,ترتيب أهمية العمل في مجال أحبه,ترتيب أهمية الاستقرار الوظيفي,التخصص الأول الذي أرغب به, التخصص الثاني الذي أرغب به, التخصص الثالث الذي أرغب به,هل أنت مستعد للتنازل عن رغبتك الأولى إذا كان هناك تخصص قريب منها,ما هو التخصص الذي يرغب أهلك أن تدرسه؟,سبب اختيار أهلك لهذا التخصص؟,هل أنت مستعد لتحقيق رغبة الأهل على حساب رغبتك الشخصية؟,القدرة المادية للعائلة,علامة الرياضيات (0–100),علامة الفيزياء (0–100),علامة الكيمياء (0–100),علامة اللغة العربية (0–100),علامة اللغة الأجنبية (0–100),هل يمكنك الدراسة خارج مدينتك؟,هل يمكنك الدراسة في جامعة خاصة؟,ما هو التخصص الذي تتوقع أن تختاره فعليًا؟
4/17/2026 17:26:33,17,2,1,2,3,3,4,5,5,5,4,1,5,2,2,2,4,4,2,1,2,1,3,1,3,7,2,1,4,1,1,60,90,100,100,100,1,0,0
4/17/2026 17:35:49,18,2,1,2,2,4,3,5,1,2,1,1,1,1,2,3,5,5,1,3,3,4,3,1,2,5,0,1,1,0,2,90,96,84,75,88,1,0,1
4/17/2026 20:21:01,18,2,1,2,3,4,4,4,5,4,4,3,1,2,1,4,2,3,3,1,2,1,2,1,2,3,1,1,1,0,1,99,99,100,99,95,1,1,1
4/17/2026 21:09:35,17,2,1,2,1,3,4,5,2,5,5,1,5,1,3,3,5,5,2,2,2,1,3,1,2,3,0,1,3,0,1,99,100,100,65,100,0,0,1
4/17/2026 21:23:27,18,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,2,3,3,1,1,6,0,10,80,30,1,0,2
4/18/2026 16:20:42,19,2,1,2,5,4,4,3,3,1,1,2,1,1,1,5,3,5,5,1,3,1,1,3,2,1,0,1,1,1,2,99,97,96,90,93,0,0,3
4/18/2026 16:22:03,18,2,1,2,3,3,2,1,3,3,3,3,4,4,2,4,2,2,2,2,2,1,1,2,3,5,1,1,2,1,1,70,60,80,70,70,0,1,2
4/18/2026 16:23:29,17,2,1,2,3,5,5,2,3,5,5,3,5,1,4,5,3,5,2,3,3,4,4,8,6,7,1,1,4,1,1,98,100,80,100,100,0,0,6
4/18/2026 16:52:13,19,1,1,2,1,2,3,5,4,3,4,3,1,1,1,1,1,1,1,1,4,4,4,1,6,4,0,1,1,0,1,90,94,92,95,50,0,0,0
4/18/2026 16:54:40,18,2,1,2,1,5,4,5,4,3,1,1,3,1,1,4,5,5,5,2,1,1,2,1,6,8,0,1,1,1,2,96,100,100,85,100,0,1,1
4/18/2026 17:28:04,18,2,1,2,2,2,2,5,4,2,2,3,2,3,2,3,4,4,3,1,1,1,1,1,8,5,1,1,2,2,1,95,95,95,100,90,1,1,1
4/18/2026 17:28:07,19,2,1,1,1,1,3,2,1,1,1,1,1,5,1,2,4,3,1,2,2,1,3,1,5,2,2,1,3,1,2,70,80,85,90,80,1,2,5
4/18/2026 18:32:51,18,2,1,2,1,1,1,5,1,1,4,4,1,1,1,1,1,3,1,3,1,1,4,1,3,4,0,1,1,0,1,90,90,90,95,50,0,0,1
4/18/2026 19:03:30,18,2,1,2,3,2,3,4,3,3,3,2,3,2,2,2,2,2,3,2,2,2,2,8,2,3,1,4,1,1,2,70,50,50,90,50,0,1,8
4/18/2026 19:18:42,19,2,1,1,5,5,4,1,2,1,1,2,1,1,1,5,4,4,5,1,3,1,1,3,1,8,1,1,4,0,2,85,75,95,70,77,0,0,3
4/18/2026 19:26:09,18,2,1,2,3,1,4,5,2,2,2,2,2,2,3,1,4,5,2,1,1,1,1,1,2,3,2,1,1,0,2,55,60,85,94,75,0,0,2
4/18/2026 20:13:53,18,2,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,4,4,1,1,5,5,5,0,8,3,1,2,98,56,100,100,69,1,0,5
4/18/2026 20:36:00,17,2,1,1,4,4,4,3,3,4,3,2,4,3,2,3,4,4,3,1,1,1,2,2,5,6,1,1,2,1,2,80,80,90,100,90,1,1,0
4/18/2026 20:41:26,17,2,1,2,3,4,4,5,5,5,3,1,1,2,2,4,5,5,2,1,1,1,2,1,2,3,0,1,1,1,2,75,50,44,87,80,1,2,1
4/18/2026 20:49:00,17,2,1,2,2,2,3,5,1,1,2,3,1,4,3,3,4,5,2,3,3,4,2,1,5,8,1,1,1,0,2,80,70,90,97,50,0,1,1
4/18/2026 20:52:49,18,2,1,2,3,5,5,4,4,4,3,5,5,3,4,4,5,5,3,1,3,1,1,2,7,4,1,1,1,1,1,75,90,100,95,80,0,1,0
4/18/2026 20:53:22,18,2,1,2,3,3,3,4,4,3,1,3,1,1,1,3,2,4,3,1,1,3,1,1,1,3,1,1,1,0,2,50,98,75,90,75,0,1,1
4/18/2026 21:06:17,17,2,1,2,4,2,4,5,4,4,1,5,1,5,4,5,5,5,1,1,2,1,2,5,1,4,1,5,1,0,2,70,80,90,100,50,1,0,5
4/18/2026 21:14:24,17,2,1,2,5,5,1,3,1,4,1,1,3,3,1,3,3,4,2,4,4,2,2,1,6,5,2,1,1,1,1,60,55,50,80,48,0,0,0
4/18/2026 21:23:23,17,2,1,2,1,4,3,4,2,3,1,1,3,3,1,3,3,4,2,3,2,1,3,1,6,5,2,1,4,1,1,70,50,43,80,40,0,0,0
4/18/2026 21:24:26,18,2,1,2,1,1,3,4,3,4,2,4,4,4,2,3,4,5,4,1,2,1,1,1,2,7,1,2,1,0,1,50,100,80,90,100,0,0,0
4/18/2026 21:29:47,17,2,1,2,3,1,4,5,5,4,1,1,5,1,4,5,5,5,2,1,1,1,1,1,2,7,2,1,1,2,2,50,75,80,90,80,1,0,1
4/18/2026 21:44:04,18,2,1,2,5,2,4,4,3,3,1,3,5,4,3,2,3,4,4,1,1,1,1,1,2,3,2,1,1,2,1,60,80,70,90,50,1,0,0
4/18/2026 21:49:40,17,2,1,2,3,3,3,5,4,4,1,2,2,1,1,3,2,4,1,2,2,1,3,1,3,2,1,2,1,1,2,80,52,70,80,80,1,1,1
4/18/2026 21:51:13,17,2,1,2,5,4,3,1,1,1,1,3,1,2,2,3,1,5,2,3,3,1,3,3,2,5,0,1,1,2,1,60,50,70,95,20,1,0,3
4/18/2026 21:54:42,18,2,1,2,2,3,5,1,1,1,1,1,1,2,1,5,5,4,4,3,3,4,4,2,3,4,0,1,3,1,2,90.5,99,99,92,98,1,2,2
4/18/2026 22:01:09,18,2,1,2,2,2,2,5,5,3,1,2,1,1,1,2,4,4,5,1,2,1,1,1,2,3,1,1,1,2,1,95,97.5,90,93,99,0,0,1
4/19/2026 1:38:48,17,2,1,2,1,2,3,5,4,4,3,1,4,1,2,3,5,5,2,1,2,1,1,1,2,6,0,1,4,2,2,70,60,90,100,50,0,1,1
4/19/2026 18:07:33,18,2,1,2,1,3,3,5,4,2,1,1,1,2,1,3,4,5,4,1,1,1,3,1,1,1,0,1,2,0,1,99,100,85,86,100,1,1,1
4/20/2026 9:13:25,17,2,1,2,3,4,3,1,4,2,3,3,1,1,5,5,1,1,5,1,1,3,3,2,3,8,2,3,4,0,2,93,80,70,75,50,1,1,2
4/20/2026 9:15:25,17,2,1,2,1,4,3,5,4,5,1,2,1,1,5,1,4,2,5,1,3,4,2,1,7,2,2,1,1,0,1,60,80,70,66,55,0,0,0
4/20/2026 9:18:38,17,2,1,2,2,5,4,5,3,3,4,3,1,2,1,5,5,5,1,1,4,1,1,1,2,4,0,1,3,1,2,87,90,90,70,90,0,0,1
4/20/2026 9:20:15,17,2,1,2,2,5,4,3,3,5,2,4,1,3,3,3,1,5,1,2,1,1,3,2,8,5,1,1,3,2,1,80,95,70,95,80,0,0,2
4/20/2026 9:24:08,17,2,1,2,1,4,3,4,3,2,1,3,1,1,1,3,5,5,1,4,4,1,4,1,2,8,1,1,3,0,2,75,85,80,90,90,1,1,1
4/20/2026 9:24:32,17,2,1,2,1,5,5,5,5,3,1,3,4,1,1,5,5,5,3,3,4,1,2,1,3,7,0,1,3,1,1,80,100,90,90,80,0,0,1
4/20/2026 9:29:05,17,2,1,2,1,1,1,1,3,1,2,4,1,5,5,3,5,5,1,1,4,1,4,5,8,8,0,1,1,1,1,82,100,85,75,81,0,1,5
4/20/2026 9:29:42,17,2,1,2,1,5,4,1,1,4,1,4,5,5,1,5,5,5,1,1,1,1,4,2,5,7,0,1,3,1,2,80,60,70,75,65,1,1,2
4/20/2026 9:33:45,17,2,1,2,2,5,4,2,5,5,1,4,5,5,1,5,5,5,5,1,1,1,1,5,3,2,0,1,3,1,1,75,82,75,91,85,1,1,5
4/20/2026 9:35:22,17,2,1,2,3,5,3,2,3,5,3,4,1,3,1,1,5,5,1,1,1,1,4,8,5,8,0,1,2,1,2,80,70,50,80,50,1,1,8
4/20/2026 9:39:21,17,2,1,2,1,5,3,5,2,3,1,1,2,4,1,5,5,5,1,1,1,1,2,1,5,8,0,1,3,0,1,83,95,90,78,50,1,1,0
4/20/2026 9:41:35,17,2,1,1,3,5,4,4,3,5,1,5,3,5,1,5,5,5,1,1,3,1,2,2,1,3,2,1,4,0,2,70,100,55,65,40,1,2,1
4/20/2026 9:46:27,17,2,1,2,1,5,3,3,2,3,1,2,3,2,1,5,5,5,1,1,1,1,2,1,6,8,1,1,1,1,2,70,90,70,95,93,1,1,1
4/20/2026 9:56:03,17,2,1,2,1,5,3,4,4,5,1,5,1,3,3,1,5,5,1,1,1,1,1,2,5,1,0,8,1,0,2,60,70,60,80,75,0,2,0
4/20/2026 9:57:59,17,2,1,2,3,4,4,3,4,1,3,5,1,4,1,4,3,5,1,1,1,1,4,1,5,2,0,5,1,2,2,50,73,75,50,50,0,1,0
4/20/2026 10:05:07,17,2,1,2,3,5,3,5,5,4,3,4,5,4,4,5,1,4,3,2,1,1,1,1,2,8,0,1,1,2,1,70,65,80,60,90,1,1,2
4/20/2026 10:05:08,17,2,1,2,3,2,1,2,3,2,3,1,4,3,5,1,5,2,1,1,1,1,1,7,5,6,2,8,3,0,2,65,73,90,75,75,0,1,0
4/20/2026 10:10:39,17,2,1,12,4,5,5,3,5,5,1,5,1,1,1,2,1,5,5,2,2,1,1,1,2,8,0,1,3,0,2,90,100,100,94,100,1,0,0
4/20/2026 10:10:42,17,2,1,2,2,3,1,3,3,1,5,3,5,3,1,3,5,5,1,4,4,1,1,2,5,1,2,1,2,0,2,95,95,75,80,60,0,1,0
4/20/2026 10:16:41,17,2,1,2,4,5,4,5,3,4,1,4,3,4,1,5,5,5,5,1,1,1,1,1,4,2,1,1,3,0,2,75,90,85,85,70,0,1,1
4/20/2026 10:17:27,17,2,1,2,3,5,5,1,4,3,4,5,2,4,1,1,5,5,1,1,1,1,4,1,2,5,0,6,4,1,2,75,70,80,70,60,1,2,0
4/20/2026 10:22:16,17,2,1,2,5,3,4,4,5,1,1,2,5,5,1,5,5,5,1,3,4,1,4,1,3,5,0,8,4,0,2,50,70,80,80,70,1,1,1
4/20/2026 10:23:44,17,2,1,2,5,5,3,5,3,5,1,2,1,2,5,5,1,5,5,4,1,1,1,1,3,8,0,1,3,0,2,80,90,90,95,98,0,1,1
4/20/2026 10:27:33,17,2,1,5,4,5,5,5,4,5,3,2,1,3,1,5,5,5,1,4,1,1,4,1,4,5,0,1,1,0,2,85,80,100,95,100,1,2,1
4/20/2026 10:35:42,17,2,1,2,1,3,4,5,5,4,1,3,5,3,1,5,5,5,2,2,1,1,4,1,2,7,0,1,1,0,2,100,90,100,90,70,1,2,1
4/20/2026 10:35:51,17,2,1,2,2,5,5,3,5,3,2,5,1,1,1,5,5,5,1,1,1,1,4,1,3,4,0,1,1,0,2,85,100,100,80,85,1,1,1
4/20/2026 10:40:14,17,2,1,2,3,4,5,5,5,3,3,1,1,1,1,5,5,5,1,1,1,1,2,1,2,3,1,1,1,0,2,85,100,100,90,75,0,2,1
4/20/2026 10:50:17,17,2,2,2,1,1,1,2,1,5,2,2,4,5,1,1,1,5,5,1,2,1,1,5,8,8,0,5,1,0,2,30,0,0,90,70,0,0,5
4/20/2026 10:50:19,17,2,2,11,2,1,3,4,2,5,4,2,5,5,5,1,1,5,1,1,1,1,1,7,5,6,1,5,2,2,1,45,0,0,70,50,1,0,0
4/20/2026 10:56:58,17,2,2,2,1,1,1,2,1,5,3,2,1,5,5,1,3,4,5,3,2,4,4,5,4,8,0,5,4,2,2,50,0,0,80,30,0,2,5
4/20/2026 10:58:03,17,2,2,1,1,2,1,2,1,5,4,1,5,5,5,1,5,5,5,1,1,1,1,5,7,8,1,5,3,1,2,38,0,0,90,45,1,1,5
4/20/2026 11:00:41,17,2,2,2,2,1,1,1,2,2,3,4,2,5,5,1,5,4,5,3,3,4,4,5,4,8,1,5,3,2,1,60,0,0,85,70,1,0,5
4/20/2026 11:01:45,17,2,2,14,3,1,1,1,1,5,3,4,5,5,3,1,1,5,1,1,1,1,1,8,7,5,0,8,3,1,2,25,0,0,75,85,1,2,0
4/20/2026 11:05:31,17,2,2,2,1,1,1,1,1,5,5,2,4,5,5,1,5,5,2,1,1,1,4,7,6,5,0,6,1,1,2,50,0,0,60,40,1,1,7
4/20/2026 11:07:55,17,2,2,9,2,3,1,1,1,5,3,1,2,2,5,1,5,1,5,2,4,1,1,8,8,8,2,1,1,1,2,85,0,0,20,100,1,2,0
4/20/2026 11:10:08,17,2,2,2,1,1,5,5,5,5,5,5,3,5,5,1,1,4,1,2,1,1,1,5,8,8,0,5,1,1,2,75,0,0,80,90,0,0,5
4/20/2026 11:12:29,17,2,2,1,1,1,1,1,1,3,3,5,5,3,5,1,5,1,1,1,1,1,4,5,4,7,1,8,1,1,2,75,0,0,20,80,0,0,4
4/20/2026 11:14:14,17,2,2,2,2,1,1,1,1,3,1,3,3,5,1,1,5,5,3,2,3,1,1,5,7,8,0,5,4,0,2,70,0,0,70,80,1,2,0
4/20/2026 11:17:16,17,2,2,11,1,4,3,4,2,1,2,1,4,3,1,1,1,5,5,2,2,1,1,2,5,8,0,1,1,2,2,65,0,0,70,70,1,2,0
4/20/2026 11:18:26,17,2,2,2,1,3,2,2,2,5,5,1,3,5,2,1,5,5,2,1,1,1,1,5,8,8,0,5,1,0,2,65,0,0,60,80,0,1,0
4/20/2026 11:21:02,17,2,2,9,5,2,1,3,1,3,4,1,1,1,5,1,1,5,5,2,2,2,1,6,8,8,2,1,1,1,1,65,0,0,50,75,1,2,8
4/20/2026 11:24:15,17,2,1,2,4,5,5,5,5,5,2,5,2,3,1,4,5,5,1,1,3,1,4,2,1,8,2,2,1,2,2,75,50,60,80,75,1,2,0
4/20/2026 11:24:22,17,2,2,2,1,1,1,1,1,5,4,1,1,5,5,1,1,5,5,1,1,1,1,8,8,8,2,1,1,2,1,40,0,0,80,90,1,0,0
4/20/2026 11:41:39,17,2,1,2,3,5,5,5,5,4,2,4,1,3,1,5,5,5,3,2,1,1,2,1,8,8,0,1,1,1,2,78,100,85,80,95,1,2,0
4/20/2026 11:41:47,18,2,1,2,1,5,3,5,5,4,1,1,1,1,1,5,1,5,5,1,1,1,1,1,2,3,0,1,1,0,1,70,70,65,80,65,0,0,1
4/20/2026 11:45:19,17,2,1,2,3,3,5,5,5,5,3,3,5,3,4,5,3,5,1,3,3,1,3,1,8,7,0,1,4,2,2,76,70,100,100,98,1,1,0
4/20/2026 11:53:41,17,2,1,1,3,3,4,5,3,1,1,1,2,1,1,5,2,5,1,2,1,1,3,1,3,2,0,1,1,2,1,74,70,75,65,65,1,0,1
4/20/2026 11:55:22,17,2,1,2,3,5,5,5,5,2,1,2,1,5,1,5,1,5,1,1,2,1,3,1,8,8,0,1,1,2,2,93,100,84,70,70,0,0,1
4/20/2026 11:58:23,17,2,1,2,4,3,2,5,5,4,2,2,2,4,3,3,5,5,4,3,3,4,3,1,2,5,0,1,1,2,1,78,80,80,50,40,1,0,1
4/20/2026 12:05:26,18,2,1,2,3,2,5,4,4,4,5,4,3,3,5,3,5,5,5,1,1,1,1,4,7,6,2,1,1,2,2,70,60,60,75,95,1,2,4
4/20/2026 12:06:37,17,2,1,2,2,4,4,5,2,3,1,2,1,3,1,3,5,5,1,1,1,1,1,1,2,8,0,1,1,0,2,85,90,85,95,90,1,2,0
4/20/2026 12:10:46,19,2,4,2,5,4,1,1,1,5,1,5,1,1,1,2,1,5,5,1,4,1,1,4,8,8,0,4,3,1,1,0,0,0,0,0,0,0,4
4/20/2026 12:10:50,17,2,1,2,4,3,2,3,2,4,2,1,4,2,5,3,1,4,5,1,1,1,1,3,7,8,0,1,1,1,2,50,50,65,85,99,1,2,3
4/20/2026 12:11:39,17,2,1,2,4,5,4,4,5,3,1,3,1,3,1,3,5,5,5,1,1,1,1,1,3,6,0,1,1,0,1,85,95,90,75,75,0,0,0
4/20/2026 12:15:53,17,2,1,2,3,4,5,5,4,2,1,1,1,3,1,5,5,5,1,1,1,1,1,5,2,4,2,1,1,2,2,60,70,60,70,60,0,2,0
4/20/2026 12:16:08,17,2,1,2,3,4,5,4,5,4,1,5,4,1,1,3,5,5,1,3,3,4,4,1,4,6,0,1,1,2,1,75,80,80,75,85,0,1,0
4/20/2026 12:17:04,18,2,4,2,4,4,3,5,2,3,4,1,2,1,4,5,2,3,2,3,2,1,3,4,5,7,2,3,3,0,2,68,68,95,88,52,0,0,4
4/20/2026 12:26:39,18,2,1,2,1,2,1,5,2,3,4,1,1,1,1,2,1,5,4,1,1,1,1,1,6,4,0,1,1,0,2,50,66,55,70,70,0,2,1
4/20/2026 12:27:14,17,2,1,2,3,4,4,4,4,3,1,5,5,3,1,3,5,5,5,2,3,1,1,1,2,8,1,1,1,2,2,75,90,70,79,80,1,1,0
4/20/2026 12:32:10,18,2,4,2,1,1,1,1,1,1,3,5,1,1,1,2,3,5,5,3,3,4,4,4,7,8,1,4,4,2,2,80,90,0,50,0,1,2,4
4/20/2026 12:32:33,19,2,2,2,1,1,1,3,1,5,4,3,5,5,5,1,1,5,2,2,4,1,3,5,6,7,1,1,1,2,1,10,3,5,90,80,1,0,0
4/20/2026 12:33:26,18,2,1,1,4,3,3,5,4,3,4,4,3,2,1,3,3,5,4,1,2,1,2,1,2,3,0,1,1,0,2,90,90,90,95,90,1,2,1
4/20/2026 12:33:39,18,2,1,2,3,5,4,4,5,3,3,3,2,3,2,4,2,5,3,3,1,1,2,1,2,8,2,1,1,0,1,50,50,60,80,70,0,0,1
4/20/2026 12:37:23,18,2,1,2,2,5,5,5,4,4,2,1,2,1,4,5,1,5,5,1,1,1,1,1,2,3,0,1,3,0,1,80,85,75,85,70,0,1,1
4/20/2026 12:39:46,17,2,1,1,3,3,4,4,4,3,1,4,1,1,5,2,4,5,3,3,3,3,3,1,6,4,2,1,2,2,2,75,70,60,90,80,1,2,0
4/20/2026 12:42:36,17,2,1,1,2,3,3,5,4,5,5,3,5,3,5,2,3,5,3,1,3,2,2,1,2,7,1,1,2,1,2,60,50,70,90,80,1,1,0
4/20/2026 12:43:48,18,2,1,2,2,2,2,3,2,2,4,3,4,3,4,3,3,2,2,2,2,2,1,3,4,5,2,8,1,0,1,65,50,78,77,75,0,0,8
4/20/2026 12:47:06,17,2,1,2,4,4,1,4,5,3,1,4,1,5,3,2,5,5,3,3,3,4,2,1,2,4,2,1,4,0,2,70,50,80,92,60,1,2,0
4/20/2026 12:48:03,18,2,1,2,1,5,5,5,1,1,1,1,3,1,1,5,1,5,5,1,1,1,1,1,2,8,0,1,3,0,2,99,30,40,60,90,0,0,1
4/20/2026 12:50:51,18,2,1,2,1,4,4,3,3,5,4,4,2,5,5,2,5,3,3,2,2,1,1,2,5,8,2,2,1,2,1,80,75,88,90,95,1,0,0
4/20/2026 12:52:34,18,2,1,2,3,3,2,5,4,5,5,3,5,2,4,4,1,5,5,1,1,1,4,1,5,7,0,1,1,0,2,75,63,50,80,85,0,1,1
4/20/2026 12:56:12,18,2,1,2,2,5,5,3,4,2,1,3,1,1,5,5,5,3,5,3,1,1,1,1,2,6,0,1,3,1,2,80,68,50,30,50,0,2,1
4/20/2026 12:57:08,17,2,1,2,3,5,4,5,4,5,2,2,4,2,3,4,4,5,4,1,1,1,1,1,1,2,0,1,1,0,1,80,70,50,85,80,0,0,1
4/20/2026 13:00:19,18,2,1,2,5,2,1,1,1,3,5,2,1,2,1,5,5,2,1,1,1,3,4,2,1,6,2,1,1,0,2,60,80,70,80,40,0,2,2
4/20/2026 13:46:50,17,2,1,2,3,5,5,5,5,4,1,2,1,1,1,5,3,5,1,2,2,1,2,1,3,2,1,1,2,1,1,100,95,80,90,90,0,0,0
4/20/2026 13:51:41,19,2,2,2,3,1,2,1,1,4,5,5,1,3,4,3,3,4,3,4,3,4,4,6,4,5,0,5,2,1,1,50,60,40,70,60,0,0,6
4/20/2026 13:52:27,17,2,1,2,2,2,2,5,1,5,1,3,1,3,1,3,5,5,3,2,1,1,1,1,2,8,0,1,4,1,1,90,100,70,100,98,0,0,0
4/20/2026 13:55:08,18,2,1,2,3,3,4,3,2,3,1,2,1,1,4,2,5,3,3,3,2,2,1,1,4,4,0,1,1,0,1,75,50,69,70,29,0,0,1
4/20/2026 13:56:36,17,2,1,2,3,3,3,5,1,5,1,2,1,3,1,3,5,5,4,1,1,1,1,1,2,8,0,1,4,1,1,90,100,80,100,98,0,0,0
4/20/2026 14:00:28,17,2,1,2,4,3,3,5,2,2,1,5,4,4,1,4,1,5,3,1,1,1,3,1,5,3,0,1,2,1,1,70,70,60,60,100,1,1,1
4/20/2026 14:05:03,17,2,1,2,3,2,4,4,1,2,1,2,1,1,1,4,2,4,1,1,2,1,2,1,2,3,2,1,1,1,1,70,80,80,80,90,0,0,0
4/20/2026 14:07:18,18,2,1,2,1,3,1,2,5,4,1,3,4,1,3,5,5,5,2,2,1,1,2,2,5,7,0,1,3,1,2,80,70,60,90,60,1,2,2
4/20/2026 14:12:09,17,2,1,2,5,3,3,1,2,1,1,1,1,3,1,5,2,5,2,3,3,1,3,2,2,3,2,3,1,0,2,70,50,0,60,46,1,1,2
4/20/2026 14:12:20,17,2,1,2,1,2,2,4,5,5,2,2,4,5,3,5,5,1,4,1,1,1,1,3,5,5,1,1,2,1,1,60,100,80,60,70,1,0,3
4/20/2026 14:20:21,17,2,1,2,3,5,5,3,3,4,1,1,1,1,1,5,1,5,1,2,2,1,1,3,2,8,2,3,4,2,1,99,97,92,89,98,0,0,3
4/20/2026 14:25:20,17,2,1,2,3,3,2,4,2,3,5,2,3,5,3,3,5,5,3,1,2,1,3,1,5,6,1,6,1,2,1,60,40,30,80,30,0,0,0
4/20/2026 14:29:56,17,2,1,2,5,1,5,3,1,3,4,4,2,2,1,1,1,5,1,1,1,1,1,3,4,8,1,1,2,1,1,60,100,80,75,80,1,0,3
4/20/2026 14:30:14,17,2,1,2,3,4,4,5,4,4,3,5,1,4,4,3,4,5,4,3,4,4,2,2,1,5,2,2,1,2,2,75,85,85,100,75,0,0,2
